grid_id,lat_mean,lon_mean,n_samples,n_profiles,SOC_mean,climate_zone
3021,19.13788730158301,109.41281664015445,259,73,8.467374517374518,Tropical
3022,19.470690972708333,110.36029918541668,96,25,11.861604166666666,Tropical
4019,23.6316134,99.23956657333333,75,18,9.593333333333334,Tropical
4020,23.74788891549296,102.2666765539906,213,54,11.057015023474179,Warm
4021,23.218027989489052,108.15368744160584,411,100,12.022039922987835,Tropical
4022,23.022389665824345,112.14109784375962,649,150,10.705408320493067,Tropical
4023,24.09775993982993,117.05128600102042,294,78,7.597329340156462,Tropical
5016,29.674921360689655,84.20980708689655,29,12,22.113029885068965,Temperate
5017,28.914769207,87.7127669504,100,30,19.35815888871,Temperate
5018,29.350523184416243,92.59908250664974,197,73,17.771313802999998,Temperate
5019,28.049872900384614,97.83430966221155,104,26,19.57506396182692,Warm
5020,27.15185959621782,103.15947327762377,1010,479,15.226129582091088,Warm
5021,27.800695213296613,106.99046304525423,1180,486,11.49936004798644,Warm
5022,27.947284311940297,113.051146933665,1206,312,10.381494314580431,Warm
5023,27.732034477749714,117.54662899517795,871,259,9.934571068355913,Warm
5024,28.698847438134713,120.80112117979274,193,50,8.659727716010362,Warm
6015,32.46227200392857,79.84456530642856,28,11,6.496869390142857,Alpine
6016,31.70837564637168,81.7143021956637,113,37,8.781258416743363,Alpine
6017,31.640514369295776,88.12420168732395,142,115,13.520910356816902,Temperate
6018,31.737814858820226,91.78814705977528,178,95,27.459317216359548,Alpine
6019,32.96862464153226,96.72672157,248,62,29.04475806451613,Alpine
6020,32.029126252022266,102.79463467198515,539,122,15.645658465243041,Warm
6021,32.62697981009605,107.59198635016008,937,218,7.230037834620064,Warm
6022,32.83286879626095,112.92715911847637,1142,290,7.351704977623467,Warm
6023,32.669582890989865,117.97763190491037,1283,287,7.531379488344505,Warm
6024,31.42258930763407,120.826736118612,634,136,8.166669106383281,Warm
7014,38.24277778,74.91805556,4,1,4.2488399075,Alpine
7015,37.97290465870968,75.88068494580645,31,9,9.668596197709677,Temperate
7016,36.95667,81.32028,1,1,19.59,Warm
7017,38.83895124693878,87.4334070287755,49,9,4.86101942322449,Warm
7018,36.489082357236846,94.2276253506579,76,17,4.9661613139605265,Temperate
7019,38.215627600898436,98.61427969919922,512,125,11.372138199677734,Temperate
7020,37.194310287984294,101.989258963089,764,174,20.451738785397907,Temperate
7021,37.068026335911334,107.53393283366174,609,221,5.907408377829229,Temperate
7022,37.36175391383701,112.41296341460102,589,173,7.373417382336163,Temperate
7023,37.926161280234794,117.504881765635,937,294,7.261082178156883,Warm
7024,38.39156920244681,121.60422090212765,94,28,4.965672893329788,Warm
8016,43.69012514414141,81.60961658801347,297,162,10.673527992835016,Temperate
8017,43.44709786517242,87.39219501896551,203,45,12.036394628172413,Temperate
8018,43.189820863736266,92.34374204989011,91,24,5.573404043692308,Temperate
8019,40.80682685401408,97.89774585612676,142,35,2.1804043985211266,Temperate
8020,41.441659161365855,100.9619353209756,205,47,1.9851219512195122,Temperate
8021,41.062558128080006,108.217733072,125,39,5.4632,Temperate
8022,41.213888589338524,112.72135145603113,257,73,7.060203891050583,Temperate
8023,41.71326426814516,117.47458689865591,744,241,11.117014567291667,Temperate
8024,42.29824735006349,123.23301629412698,630,151,8.959828845463491,Temperate
8025,42.988199124385964,126.81916038446116,399,106,19.18331404012782,Temperate
8026,43.53126481444445,130.2111721888889,9,2,17.044444444444444,Temperate
9016,46.548673299253736,83.59749635298508,67,14,10.841410208925373,Temperate
9017,47.26168906806451,87.46772761548387,62,14,9.937166027983872,Temperate
9023,47.72762117435898,118.48188728076923,78,30,14.88222564102564,Temperate
9024,47.274964786042396,122.95286925865723,283,79,10.830845229681978,Temperate
9025,46.895870493617025,126.8470128574468,376,113,19.75691063829787,Temperate
9026,46.11787089330986,132.44373963239437,142,36,14.116901408450703,Temperate
10023,50.331565000000005,119.36683333333333,6,6,46.51239999999999,Alpine
10024,51.034973049259264,123.75250632592594,27,8,26.188651851851855,Alpine
10025,50.3433375025,125.040287525,4,2,39.3,Alpine
