SOC_g_kg,log_SOC,depth_bin
11.4,2.517696472610991,0-20cm
3.4,1.4816045409242156,0-20cm
2.4,1.2237754316221157,50-100cm
2.8,1.33500106673234,50-100cm
15.5,2.803360380906535,0-20cm
11.6,2.533696813957432,20-50cm
11.4,2.517696472610991,20-50cm
11.9,2.5572273113676265,50-100cm
10.1,2.4069451083182885,0-20cm
7.6,2.151762203259462,20-50cm
6.4,2.0014800002101243,50-100cm
1.7,0.9932517730102833,>100cm
12.0,2.5649493574615367,0-20cm
9.8,2.379546134130174,0-20cm
6.0,1.9459101490553132,20-50cm
3.7,1.547562508716013,50-100cm
3.6,1.5260563034950494,50-100cm
20.9,3.086486636822455,0-20cm
15.4,2.797281334830153,0-20cm
6.8,2.0541237336955462,20-50cm
3.7,1.547562508716013,50-100cm
6.4,2.0014800002101243,0-20cm
2.2,1.1631508098056809,0-20cm
1.1,0.7419373447293773,20-50cm
1.3,0.832909122935104,50-100cm
1.1,0.7419373447293773,50-100cm
0.4,0.33647223662121295,>100cm
5.2,1.824549292051046,0-20cm
3.7,1.547562508716013,20-50cm
1.7,0.9932517730102833,20-50cm
1.3,0.832909122935104,50-100cm
2.0,1.0986122886681098,>100cm
6.8,2.0541237336955462,0-20cm
4.1,1.62924053973028,0-20cm
6.6,2.028148247292285,50-100cm
9.8,2.379546134130174,0-20cm
5.8,1.916922612182061,20-50cm
2.2,1.1631508098056809,50-100cm
4.2,1.6486586255873816,0-20cm
3.1,1.410986973710262,0-20cm
3.2,1.4350845252893227,20-50cm
1.2,0.7884573603642702,20-50cm
10.4,2.4336133554004498,0-20cm
4.8,1.7578579175523736,20-50cm
4.3,1.667706820558076,50-100cm
8.3,2.2300144001592104,0-20cm
5.2,1.824549292051046,0-20cm
3.0,1.3862943611198906,20-50cm
4.9,1.7749523509116738,50-100cm
3.4,1.4816045409242156,50-100cm
3.9,1.589235205116581,>100cm
5.5,1.8718021769015913,0-20cm
3.8,1.5686159179138452,0-20cm
2.8,1.33500106673234,20-50cm
5.4,1.8562979903656263,50-100cm
16.7,2.8735646395797834,50-100cm
13.9,2.7013612129514133,50-100cm
2.8,1.33500106673234,>100cm
2.6,1.2809338454620642,>100cm
4.3,1.667706820558076,0-20cm
3.3,1.4586150226995167,20-50cm
6.7,2.0412203288596382,50-100cm
2.7,1.308332819650179,50-100cm
2.2,1.1631508098056809,>100cm
1.2,0.7884573603642702,>100cm
10.0,2.3978952727983707,0-20cm
7.2,2.1041341542702074,0-20cm
10.4,2.4336133554004498,0-20cm
7.7,2.1633230256605382,0-20cm
6.0,1.9459101490553132,0-20cm
2.6,1.2809338454620642,0-20cm
1.2,0.7884573603642702,20-50cm
9.8,2.379546134130174,0-20cm
7.3,2.1162555148025524,20-50cm
15.8,2.8213788864092133,0-20cm
13.9,2.7013612129514133,0-20cm
1.7,0.9932517730102833,0-20cm
1.5,0.9162907318741551,0-20cm
9.5,2.3513752571634776,0-20cm
9.6,2.3608540011180215,0-20cm
21.9,3.131136910560194,0-20cm
13.7,2.6878474937846906,20-50cm
10.3,2.424802725718295,50-100cm
7.9,2.186051276738094,50-100cm
35.1,3.586292865338835,0-20cm
30.9,3.462606009790799,0-20cm
42.4,3.770459441106359,0-20cm
28.2,3.374168709274236,0-20cm
21.8,3.126760535960395,20-50cm
9.39675174,2.341493424669005,0-20cm
3.654292343,1.5377898783348827,0-20cm
2.668213457,1.2997047470848513,20-50cm
5.046403712,1.7994636675319253,20-50cm
5.220417633,1.8278370480661914,50-100cm
30.7424594,3.4576551979186982,0-20cm
31.84454756,3.491785751245754,0-20cm
34.86078886,3.5796444662618536,20-50cm
29.52436195,3.4185251172394047,50-100cm
18.32946636,2.9616306860104005,0-20cm
6.148491879,1.96690140844391,0-20cm
4.75638051,1.7503088935114712,20-50cm
12.03,2.567254391136754,0-20cm
8.03,2.200552367428894,0-20cm
8.74,2.2762411176544437,20-50cm
13.53,2.6762154775821916,0-20cm
10.0,2.3978952727983707,20-50cm
3.72,1.551808799597464,50-100cm
14.44315545,2.7371658922395445,0-20cm
13.28306265,2.659074405204275,0-20cm
7.482598608,2.138016842483422,20-50cm
5.858468677,1.9254841918922878,20-50cm
10.26682135,2.4218622430165584,50-100cm
12.6450116,2.6133740042881923,0-20cm
12.6450116,2.6133740042881923,20-50cm
11.60092807,2.533770467594143,20-50cm
12.29698376,2.587537224545704,50-100cm
11.42691415,2.5198646164552616,0-20cm
10.55684455,2.4472778631803367,0-20cm
10.61484919,2.4522843820657583,20-50cm
8.584686775,2.2601666972990686,50-100cm
18.73549884,2.9824189857145336,0-20cm
14.09512761,2.7143720169157155,20-50cm
11.31090487,2.5104854443998175,20-50cm
11.25290023,2.505762662438444,50-100cm
14.73317865,2.755771772307273,0-20cm
11.19489559,2.501017469925615,0-20cm
19.66357309,3.028372395978888,20-50cm
14.44315545,2.7371658922395445,50-100cm
10.55684455,2.4472778631803367,0-20cm
10.55684455,2.4472778631803367,20-50cm
13.97911833,2.7066571198816627,20-50cm
21.57772622,3.116963854802508,0-20cm
14.79118329,2.7594517646617756,20-50cm
27.66821346,3.3557889640366994,20-50cm
18.50348028,2.970592925542209,0-20cm
15.31322506,2.7919761322177292,20-50cm
11.94895592,2.561015160957038,20-50cm
12.52900232,2.6048357011046885,50-100cm
13.80510441,2.694972013875867,0-20cm
24.01392111,3.2194325142878886,20-50cm
17.51740139,2.9187109056582403,20-50cm
17.51740139,2.9187109056582403,50-100cm
17.22737819,2.902924759916552,0-20cm
12.76102088,2.6218400216135826,20-50cm
11.83294664,2.5520158202236005,20-50cm
11.89095128,2.5565256140728625,50-100cm
20.93967517,3.088296649359179,0-20cm
15.48723898,2.8025866865307005,20-50cm
24.18793503,3.226365111220279,20-50cm
27.78422274,3.3598274155050847,0-20cm
17.86542923,2.937331105874106,20-50cm
19.02552204,2.997007562027855,20-50cm
19.02552204,2.997007562027855,50-100cm
17.40139211,2.91242631990518,0-20cm
15.54524362,2.8060986659554072,0-20cm
14.73317865,2.755771772307273,20-50cm
14.09512761,2.7143720169157155,20-50cm
16.12529002,2.840556319479338,50-100cm
13.05104408,2.642696704762546,0-20cm
6.090487239,1.9587540601856084,20-50cm
8.642691415,2.266200262082887,20-50cm
15.89327146,2.8269154041893287,0-20cm
12.99303944,2.6385600231217374,0-20cm
3.422273782,1.4866539941324353,20-50cm
2.842227378,1.3460522447919403,50-100cm
2.668213457,1.2997047470848513,50-100cm
1.56612529,0.9423970919694907,>100cm
13.68909513,2.68710539060307,0-20cm
17.28538283,2.9061019882156423,20-50cm
11.42691415,2.5198646164552616,20-50cm
7.192575406,2.1032283058206738,50-100cm
15.25522042,2.788414113799274,0-20cm
11.774942,2.547485595962045,20-50cm
4.988399072,1.7898241096272645,20-50cm
4.69837587,1.7401811991510703,50-100cm
11.07888631,2.4914589953758495,0-20cm
10.44083527,2.4371889963982123,20-50cm
8.062645012,2.2041610213769114,20-50cm
6.902552204,2.067185771096572,50-100cm
6.20649652,1.9749829136435195,50-100cm
16.87935035,2.8836464351926585,0-20cm
6.728538283,2.044919748081826,20-50cm
10.20881671,2.4167006748667217,20-50cm
7.192575406,2.1032283058206738,50-100cm
11.19489559,2.501017469925615,0-20cm
3.306264501,1.4600708232052213,20-50cm
3.19025522,1.4327616437735151,20-50cm
2.494199536,1.2511043182667152,50-100cm
2.784222738,1.3308405125650895,>100cm
14.67517401,2.7520781875737947,0-20cm
10.15081206,2.4115123257473896,0-20cm
10.67285383,2.457265960532671,20-50cm
10.03480278,2.4010541673242503,20-50cm
5.626450116,1.8910692333543266,50-100cm
8.468677494,2.2479892452809844,0-20cm
7.076566125,2.088966797671782,0-20cm
6.3225058,1.9909525917986457,20-50cm
5.568445476,1.882277195063256,50-100cm
16.58932715,2.8672923061702056,0-20cm
13.57308585,2.6791763925655667,0-20cm
6.380510441,1.9988428016677164,20-50cm
4.988399072,1.7898241096272645,50-100cm
11.71693735,2.5429347545501044,0-20cm
8.004640371,2.1977400412396495,0-20cm
7.482598608,2.138016842483422,20-50cm
4.64037123,1.7299498842658516,50-100cm
15.31322506,2.7919761322177292,0-20cm
12.41299304,2.5962238670202438,20-50cm
10.09280742,2.4062969181082163,20-50cm
4.234338747,1.6552405224951414,50-100cm
15.13921114,2.7812517855630654,0-20cm
8.410672854,2.241844455185516,20-50cm
7.366589327,2.1242463136420437,20-50cm
6.032482599,1.9505397870098125,20-50cm
11.83294664,2.5520158202236005,0-20cm
10.96287703,2.4818082739417537,0-20cm
4.930394432,1.780090725468795,20-50cm
4.930394432,1.780090725468795,50-100cm
11.83294664,2.5520158202236005,0-20cm
9.39675174,2.341493424669005,20-50cm
8.178654292,2.216880602601443,20-50cm
5.684454756,1.899784644923856,50-100cm
16.99535963,2.8901139263271287,0-20cm
13.74709977,2.6910464376897374,0-20cm
5.800464037,1.916990850589062,20-50cm
3.306264501,1.4600708232052213,20-50cm
11.42691415,2.5198646164552616,0-20cm
8.932714617,2.295833816024146,20-50cm
7.77262181,2.171635713816278,20-50cm
4.64037123,1.7299498842658516,50-100cm
4.814385151,1.7603350453845883,50-100cm
10.26682135,2.4218622430165584,0-20cm
10.96287703,2.4818082739417537,0-20cm
5.220417633,1.8278370480661914,20-50cm
5.220417633,1.8278370480661914,50-100cm
5.510440835,1.873407170517675,50-100cm
12.47099768,2.600539054494606,0-20cm
9.280742459,2.33027248105715,20-50cm
8.352668213,2.2356616729645467,20-50cm
7.076566125,2.088966797671782,50-100cm
5.452436195,1.8644577641463982,50-100cm
8.700696056,2.2721976412853455,0-20cm
6.032482599,1.9505397870098125,20-50cm
5.046403712,1.7994636675319253,20-50cm
4.408352668,1.6879445488925413,50-100cm
8.236658933,2.223180232927466,0-20cm
6.090487239,1.9587540601856084,20-50cm
6.26450116,1.9829996312098825,20-50cm
4.872389791,1.7702616704101632,50-100cm
11.65893271,2.538363109054814,0-20cm
7.134570766,2.096122975419075,20-50cm
7.88863109,2.1847730545420854,20-50cm
7.946635731,2.191277565642508,50-100cm
13.34106729,2.66312725987748,0-20cm
6.670533643,2.0373861883174516,20-50cm
6.728538283,2.044919748081826,20-50cm
1.798143852,1.0289562873591707,50-100cm
1.276102088,0.8224643693882208,50-100cm
10.73085847,2.462222845835683,0-20cm
7.424593968,2.1311552813678727,0-20cm
6.148491879,1.96690140844391,20-50cm
4.060324826,1.6214306761006323,20-50cm
12.6450116,2.6133740042881923,0-20cm
5.684454756,1.899784644923856,0-20cm
5.916473318,1.9339060035937803,20-50cm
5.742459397,1.9084247540633008,50-100cm
4.75638051,1.7503088935114712,50-100cm
15.48723898,2.8025866865307005,0-20cm
11.94895592,2.561015160957038,20-50cm
7.83062645,2.17822595773921,20-50cm
5.626450116,1.8910692333543266,50-100cm
4.75638051,1.7503088935114712,50-100cm
7.250580046,2.110283506481116,0-20cm
2.320185615,1.200020689498126,0-20cm
2.320185615,1.200020689498126,20-50cm
1.682134571,0.9866129592159453,50-100cm
14.84918794,2.763118264941379,0-20cm
11.94895592,2.561015160957038,0-20cm
10.73085847,2.462222845835683,20-50cm
5.800464037,1.916990850589062,50-100cm
11.02088167,2.4866452766666476,0-20cm
4.408352668,1.6879445488925413,0-20cm
2.610208817,1.2837656147162086,20-50cm
2.436194896,1.2343647242828897,50-100cm
12.76102088,2.6218400216135826,0-20cm
4.814385151,1.7603350453845883,0-20cm
4.408352668,1.6879445488925413,20-50cm
2.958236659,1.3757986379648754,50-100cm
13.10904872,2.6468163447400914,0-20cm
9.860788863,2.3851589511862823,0-20cm
7.308584687,2.1172892799217724,20-50cm
7.308584687,2.1172892799217724,50-100cm
9.3387471,2.3358986915258138,0-20cm
1.856148492,1.0494740361229478,0-20cm
1.682134571,0.9866129592159453,20-50cm
1.56612529,0.9423970919694907,50-100cm
13.68909513,2.68710539060307,0-20cm
8.758700696,2.278159266153191,20-50cm
7.192575406,2.1032283058206738,20-50cm
13.39907193,2.6671637551994536,50-100cm
12.99303944,2.6385600231217374,50-100cm
25.5800464,3.2801607989570143,0-20cm
13.16705336,2.6509190828897324,0-20cm
7.366589327,2.1242463136420437,20-50cm
8.004640371,2.1977400412396495,20-50cm
8.294663573,2.2294404261127796,50-100cm
8.874709977,2.2899769409381743,50-100cm
16.2412993,2.84730762782495,0-20cm
6.844547564,2.059818712628983,0-20cm
7.424593968,2.1311552813678727,20-50cm
7.076566125,2.088966797671782,50-100cm
7.308584687,2.1172892799217724,50-100cm
12.9350348,2.634406158239728,50-100cm
10.55684455,2.4472778631803367,0-20cm
2.378190255,1.2173401385876361,20-50cm
0.754060325,0.5619332861749915,20-50cm
12.76102088,2.6218400216135826,0-20cm
4.988399072,1.7898241096272645,0-20cm
3.538283063,1.5125487605692358,20-50cm
4.872389791,1.7702616704101632,20-50cm
3.654292343,1.5377898783348827,50-100cm
15.31322506,2.7919761322177292,0-20cm
8.178654292,2.216880602601443,20-50cm
6.728538283,2.044919748081826,20-50cm
6.032482599,1.9505397870098125,50-100cm
19.19953596,3.0056596318660644,0-20cm
15.48723898,2.8025866865307005,20-50cm
7.598607889,2.1516003167844606,20-50cm
5.974477958,1.94225748017524,50-100cm
16.18329466,2.843937671161871,0-20cm
6.20649652,1.9749829136435195,20-50cm
7.424593968,2.1311552813678727,20-50cm
7.424593968,2.1311552813678727,50-100cm
12.12296984,2.5743641176565366,0-20cm
10.61484919,2.4522843820657583,20-50cm
5.916473318,1.9339060035937803,20-50cm
2.378190255,1.2173401385876361,50-100cm
3.480278422,1.4996851922636585,>100cm
18.73549884,2.9824189857145336,0-20cm
11.19489559,2.501017469925615,20-50cm
11.94895592,2.561015160957038,20-50cm
10.09280742,2.4062969181082163,50-100cm
5.336426914,1.8463150313457901,0-20cm
5.336426914,1.8463150313457901,0-20cm
4.234338747,1.6552405224951414,20-50cm
12.81902552,2.6260463035524015,0-20cm
8.062645012,2.2041610213769114,20-50cm
3.364269142,1.4734507393046723,20-50cm
2.378190255,1.2173401385876361,50-100cm
12.87703016,2.6302349667669254,0-20cm
8.700696056,2.2721976412853455,20-50cm
5.626450116,1.8910692333543266,20-50cm
3.422273782,1.4866539941324353,50-100cm
8.584686775,2.2601666972990686,50-100cm
16.47331787,2.8606750242591894,0-20cm
8.410672854,2.241844455185516,20-50cm
7.076566125,2.088966797671782,20-50cm
7.192575406,2.1032283058206738,50-100cm
7.308584687,2.1172892799217724,50-100cm
10.89907193,2.4764604080005475,0-20cm
8.950116009,2.2975842102985133,20-50cm
2.378190255,1.2173401385876361,50-100cm
11.13109049,2.4957716191624946,0-20cm
9.019721578,2.3045553086439168,20-50cm
3.451276102,1.4931908195634522,50-100cm
23.49187935,3.198341607505257,0-20cm
10.96287703,2.4818082739417537,0-20cm
8.700696056,2.2721976412853455,20-50cm
4.118329466,1.6328281096398902,50-100cm
15.25522042,2.788414113799274,0-20cm
9.280742459,2.33027248105715,20-50cm
8.990719258,2.301656587866543,50-100cm
8.642691415,2.266200262082887,>100cm
12.41299304,2.5962238670202438,0-20cm
11.19489559,2.501017469925615,20-50cm
8.004640371,2.1977400412396495,20-50cm
4.524361949,1.709167756391095,50-100cm
4.176334107,1.6440971043812276,>100cm
11.42691415,2.5198646164552616,0-20cm
3.654292343,1.5377898783348827,20-50cm
1.798143852,1.0289562873591707,20-50cm
16.99535963,2.8901139263271287,0-20cm
10.84686775,2.4720635077466433,20-50cm
3.248259861,1.4465094546204627,50-100cm
13.51508121,2.6751881923627674,0-20cm
6.670533643,2.0373861883174516,20-50cm
1.56612529,0.9423970919694907,50-100cm
16.06728538,2.8371634954546128,0-20cm
8.874709977,2.2899769409381743,20-50cm
4.75638051,1.7503088935114712,50-100cm
10.84686775,2.4720635077466433,0-20cm
8.816705336,2.284085560572831,20-50cm
7.134570766,2.096122975419075,20-50cm
6.786542923,2.052396977427628,50-100cm
15.02320186,2.7740377880865608,0-20cm
5.510440835,1.873407170517675,20-50cm
5.278422274,1.8371187186617233,50-100cm
13.16705336,2.6509190828897324,0-20cm
3.306264501,1.4600708232052213,20-50cm
3.016241299,1.3903464649967827,20-50cm
7.714617169,2.165001750181541,0-20cm
4.988399072,1.7898241096272645,20-50cm
5.626450116,1.8910692333543266,20-50cm
3.886310905,1.586437602616289,50-100cm
12.87703016,2.6302349667669254,0-20cm
9.454756381,2.3470570309352685,0-20cm
6.496519722,2.01443887577708,20-50cm
5.974477958,1.94225748017524,50-100cm
13.86310905,2.6988822401512125,0-20cm
8.932714617,2.295833816024146,0-20cm
8.932714617,2.295833816024146,50-100cm
4.988399072,1.7898241096272645,50-100cm
22.15777262,3.14233047450469,0-20cm
5.336426914,1.8463150313457901,20-50cm
5.278422274,1.8371187186617233,50-100cm
3.19025522,1.4327616437735151,50-100cm
21.51972158,3.114391439962382,0-20cm
6.844547564,2.059818712628983,20-50cm
4.69837587,1.7401811991510703,20-50cm
3.19025522,1.4327616437735151,50-100cm
14.32714617,2.7296255157364815,0-20cm
8.642691415,2.266200262082887,20-50cm
2.552204176,1.2675683054598799,20-50cm
7.598607889,2.1516003167844606,0-20cm
2.958236659,1.3757986379648754,20-50cm
2.668213457,1.2997047470848513,50-100cm
11.71693735,2.5429347545501044,0-20cm
6.148491879,1.96690140844391,0-20cm
5.510440835,1.873407170517675,50-100cm
17.05336427,2.893332053560734,0-20cm
7.946635731,2.191277565642508,20-50cm
4.988399072,1.7898241096272645,50-100cm
6.670533643,2.0373861883174516,>100cm
12.52900232,2.6048357011046885,0-20cm
9.918793503,2.3904854791395738,20-50cm
3.07424594,1.404685684171041,20-50cm
10.03480278,2.4010541673242503,0-20cm
8.932714617,2.295833816024146,0-20cm
7.77262181,2.171635713816278,50-100cm
5.684454756,1.899784644923856,50-100cm
15.02320186,2.7740377880865608,0-20cm
9.744779582,2.3744200163428864,20-50cm
9.164733179,2.318924197744161,20-50cm
8.468677494,2.2479892452809844,50-100cm
2.436194896,1.2343647242828897,>100cm
14.55916473,2.7446498367181316,0-20cm
8.004640371,2.1977400412396495,20-50cm
6.20649652,1.9749829136435195,20-50cm
5.510440835,1.873407170517675,50-100cm
11.94895592,2.561015160957038,0-20cm
6.090487239,1.9587540601856084,20-50cm
3.828306265,1.5744957363932024,50-100cm
10.03480278,2.4010541673242503,0-20cm
4.988399072,1.7898241096272645,0-20cm
7.018561485,2.0817590398303256,20-50cm
10.67285383,2.457265960532671,0-20cm
6.728538283,2.044919748081826,0-20cm
3.770301624,1.5624095364440707,20-50cm
4.466357309,1.6986124547437058,50-100cm
4.176334107,1.6440971043812276,>100cm
12.87703016,2.6302349667669254,0-20cm
12.87703016,2.6302349667669254,20-50cm
10.55684455,2.4472778631803367,50-100cm
6.786542923,2.052396977427628,50-100cm
12.47099768,2.600539054494606,0-20cm
12.76102088,2.6218400216135826,20-50cm
4.582366589,1.7196128063722729,20-50cm
2.784222738,1.3308405125650895,20-50cm
6.380510441,1.9988428016677164,50-100cm
6.438515081,2.00667124303799,50-100cm
7.366589327,2.1242463136420437,0-20cm
3.364269142,1.4734507393046723,20-50cm
3.364269142,1.4734507393046723,20-50cm
4.408352668,1.6879445488925413,50-100cm
6.844547564,2.059818712628983,0-20cm
8.120649652,2.210541035321165,0-20cm
5.568445476,1.882277195063256,20-50cm
5.278422274,1.8371187186617233,50-100cm
3.07424594,1.404685684171041,50-100cm
9.570765661,2.3580922344394004,0-20cm
7.134570766,2.096122975419075,20-50cm
5.916473318,1.9339060035937803,20-50cm
6.26450116,1.9829996312098825,50-100cm
6.786542923,2.052396977427628,0-20cm
4.582366589,1.7196128063722729,20-50cm
3.828306265,1.5744957363932024,20-50cm
3.016241299,1.3903464649967827,50-100cm
10.15081206,2.4115123257473896,0-20cm
5.568445476,1.882277195063256,0-20cm
6.612529002,2.0297954428152933,20-50cm
5.046403712,1.7994636675319253,50-100cm
6.670533643,2.0373861883174516,50-100cm
10.26682135,2.4218622430165584,>100cm
11.19489559,2.501017469925615,0-20cm
5.800464037,1.916990850589062,20-50cm
4.64037123,1.7299498842658516,20-50cm
10.32482599,2.4269973061296404,50-100cm
7.88863109,2.1847730545420854,>100cm
11.83294664,2.5520158202236005,0-20cm
8.178654292,2.216880602601443,0-20cm
5.568445476,1.882277195063256,20-50cm
4.582366589,1.7196128063722729,20-50cm
4.582366589,1.7196128063722729,50-100cm
4.524361949,1.709167756391095,50-100cm
9.3387471,2.3358986915258138,0-20cm
10.09280742,2.4062969181082163,20-50cm
8.700696056,2.2721976412853455,20-50cm
9.280742459,2.33027248105715,0-20cm
5.278422274,1.8371187186617233,20-50cm
4.930394432,1.780090725468795,50-100cm
10.49883991,2.442246152889434,0-20cm
4.930394432,1.780090725468795,20-50cm
4.814385151,1.7603350453845883,20-50cm
2.900232019,1.361036043417301,50-100cm
20.82366589,3.0829949722513414,0-20cm
10.32482599,2.4269973061296404,20-50cm
3.944315545,1.5982385419455967,20-50cm
3.944315545,1.5982385419455967,50-100cm
12.87703016,2.6302349667669254,0-20cm
9.164733179,2.318924197744161,0-20cm
12.00696056,2.565484641863583,20-50cm
11.19489559,2.501017469925615,20-50cm
7.946635731,2.191277565642508,50-100cm
8.584686775,2.2601666972990686,50-100cm
15.6612529,2.8130858379926442,0-20cm
7.88863109,2.1847730545420854,0-20cm
12.12296984,2.5743641176565366,20-50cm
9.39675174,2.341493424669005,50-100cm
6.148491879,1.96690140844391,>100cm
8.410672854,2.241844455185516,0-20cm
12.29698376,2.587537224545704,20-50cm
10.84686775,2.4720635077466433,20-50cm
13.51508121,2.6751881923627674,50-100cm
11.31090487,2.5104854443998175,0-20cm
9.686774942,2.3690069902773168,20-50cm
6.844547564,2.059818712628983,50-100cm
4.582366589,1.7196128063722729,50-100cm
2.900232019,1.361036043417301,>100cm
15.6612529,2.8130858379926442,0-20cm
11.94895592,2.561015160957038,20-50cm
8.236658933,2.223180232927466,20-50cm
6.032482599,1.9505397870098125,50-100cm
13.51508121,2.6751881923627674,0-20cm
8.236658933,2.223180232927466,20-50cm
6.26450116,1.9829996312098825,20-50cm
3.306264501,1.4600708232052213,50-100cm
6.26450116,1.9829996312098825,50-100cm
11.48491879,2.5245214191050547,0-20cm
12.52900232,2.6048357011046885,0-20cm
7.482598608,2.138016842483422,20-50cm
7.424593968,2.1311552813678727,50-100cm
10.03480278,2.4010541673242503,0-20cm
4.582366589,1.7196128063722729,20-50cm
4.582366589,1.7196128063722729,20-50cm
5.162412993,1.818468420486176,50-100cm
15.6612529,2.8130858379926442,0-20cm
6.380510441,1.9988428016677164,20-50cm
11.07888631,2.4914589953758495,50-100cm
12.9350348,2.634406158239728,50-100cm
13.39907193,2.6671637551994536,0-20cm
11.25290023,2.505762662438444,0-20cm
7.656612529,2.158323483117142,20-50cm
9.222737819,2.324614437256044,50-100cm
15.71925754,2.8165612011682097,0-20cm
12.0649652,2.5699342353639767,0-20cm
9.106728538,2.313201393921096,20-50cm
8.120649652,2.210541035321165,50-100cm
10.84686775,2.4720635077466433,50-100cm
13.68909513,2.68710539060307,0-20cm
8.758700696,2.278159266153191,20-50cm
8.758700696,2.278159266153191,20-50cm
3.596287703,1.5252489565912695,50-100cm
15.9512761,2.830343117128294,0-20cm
4.176334107,1.6440971043812276,20-50cm
6.20649652,1.9749829136435195,0-20cm
1.914153132,1.069579256838409,20-50cm
11.83294664,2.5520158202236005,0-20cm
7.308584687,2.1172892799217724,20-50cm
2.958236659,1.3757986379648754,50-100cm
8.700696056,2.2721976412853455,0-20cm
8.758700696,2.278159266153191,0-20cm
9.048723898,2.307445651119653,0-20cm
4.582366589,1.7196128063722729,0-20cm
2.958236659,1.3757986379648754,50-100cm
1.798143852,1.0289562873591707,50-100cm
8.236658933,2.223180232927466,0-20cm
5.046403712,1.7994636675319253,20-50cm
2.552204176,1.2675683054598799,20-50cm
2.900232019,1.361036043417301,0-20cm
2.320185615,1.200020689498126,20-50cm
10.20881671,2.4167006748667217,0-20cm
3.364269142,1.4734507393046723,20-50cm
3.364269142,1.4734507393046723,50-100cm
15.6612529,2.8130858379926442,0-20cm
7.134570766,2.096122975419075,20-50cm
3.538283063,1.5125487605692358,50-100cm
3.538283063,1.5125487605692358,>100cm
15.6612529,2.8130858379926442,0-20cm
6.26450116,1.9829996312098825,0-20cm
2.668213457,1.2997047470848513,20-50cm
16.82134571,2.880396936026427,0-20cm
4.060324826,1.6214306761006323,0-20cm
4.118329466,1.6328281096398902,50-100cm
11.60092807,2.533770467594143,0-20cm
2.088167053,1.1275777281734074,20-50cm
13.97911833,2.7066571198816627,0-20cm
6.728538283,2.044919748081826,20-50cm
10.32482599,2.4269973061296404,0-20cm
4.988399072,1.7898241096272645,0-20cm
12.6450116,2.6133740042881923,0-20cm
3.828306265,1.5744957363932024,20-50cm
14.90719258,2.766771370462666,0-20cm
8.642691415,2.266200262082887,20-50cm
4.69837587,1.7401811991510703,50-100cm
2.900232019,1.361036043417301,>100cm
13.225058,2.6550050573327293,0-20cm
5.278422274,1.8371187186617233,20-50cm
4.350348028,1.677161610754745,50-100cm
17.34338747,2.909269153698494,0-20cm
2.320185615,1.200020689498126,20-50cm
2.552204176,1.2675683054598799,20-50cm
2.552204176,1.2675683054598799,50-100cm
7.308584687,2.1172892799217724,0-20cm
4.64037123,1.7299498842658516,0-20cm
4.292343387,1.666261132091644,20-50cm
12.18097448,2.5787744626082816,0-20cm
4.75638051,1.7503088935114712,20-50cm
4.69837587,1.7401811991510703,20-50cm
4.930394432,1.780090725468795,50-100cm
7.018561485,2.0817590398303256,0-20cm
2.494199536,1.2511043182667152,0-20cm
21.1136891,3.096196833054212,0-20cm
5.742459397,1.9084247540633008,0-20cm
14.15313225,2.7182072597606304,0-20cm
10.44083527,2.4371889963982123,0-20cm
9.454756381,2.3470570309352685,0-20cm
5.974477958,1.94225748017524,20-50cm
13.86310905,2.6988822401512125,0-20cm
12.99303944,2.6385600231217374,0-20cm
6.20649652,1.9749829136435195,0-20cm
11.42691415,2.5198646164552616,0-20cm
14.2,2.7212954278522306,0-20cm
11.8,2.5494451709255714,0-20cm
11.7,2.5416019934645457,20-50cm
14.3,2.72785282839839,50-100cm
2.6,1.2809338454620642,50-100cm
22.9,3.173878458937465,0-20cm
11.4,2.517696472610991,0-20cm
7.9,2.186051276738094,20-50cm
6.7,2.0412203288596382,20-50cm
2.3,1.1939224684724346,>100cm
5.2,1.824549292051046,>100cm
26.0,3.295836866004329,0-20cm
21.5,3.1135153092103742,0-20cm
9.6,2.3608540011180215,20-50cm
5.4,1.8562979903656263,20-50cm
5.2,1.824549292051046,>100cm
20.0,3.044522437723423,0-20cm
17.5,2.917770732084279,0-20cm
13.6,2.681021528714291,20-50cm
15.5,2.803360380906535,20-50cm
18.1,2.9496883350525844,50-100cm
8.0,2.1972245773362196,>100cm
0.33,0.2851789422336624,0-20cm
0.33,0.2851789422336624,0-20cm
0.39,0.3293037471426004,20-50cm
0.31,0.27002713721306015,50-100cm
0.47,0.3852624007906449,50-100cm
0.51,0.412109650826833,50-100cm
26.0,3.295836866004329,0-20cm
13.3,2.6602595372658615,20-50cm
3.3,1.4586150226995167,20-50cm
2.1,1.1314021114911006,50-100cm
2.1,1.1314021114911006,50-100cm
28.9,3.3978584803966405,0-20cm
14.0,2.70805020110221,0-20cm
7.0,2.0794415416798357,20-50cm
3.6,1.5260563034950494,50-100cm
4.4,1.6863989535702288,50-100cm
4.8,1.7578579175523736,>100cm
23.8,3.2108436531709366,0-20cm
22.8,3.169685580677429,0-20cm
19.0,2.995732273553991,20-50cm
19.7,3.0301337002713233,20-50cm
8.9,2.2925347571405443,50-100cm
5.8,1.916922612182061,50-100cm
2.7,1.308332819650179,50-100cm
21.7,3.122364924487357,0-20cm
12.6,2.6100697927420065,0-20cm
7.1,2.0918640616783932,20-50cm
3.8,1.5686159179138452,20-50cm
3.8,1.5686159179138452,50-100cm
