n_estimators,max_depth,min_samples_leaf,R2_mean,R2_std,RMSE_mean,RMSE_std
100,10,5,0.5286310140608973,0.06588779381694944,0.5640391327430132,0.06223886590892543
100,15,5,0.5280393431424765,0.06585413465005255,0.5644315433583398,0.06244363913040618
100,20,5,0.5280787944160534,0.06578745300280578,0.5644219126725412,0.06250071983194624
200,10,5,0.5307083864454224,0.06430271891167692,0.5626609331592152,0.06014923085991699
200,15,5,0.5312195159705083,0.06476513449011027,0.5623678698492887,0.06054854219638488
200,15,10,0.5240861896064335,0.06834109284371254,0.5666084260915026,0.06258119116177244
200,20,5,0.5310170479852787,0.06485351094388996,0.5624930065388274,0.06061714574480959
300,15,5,0.5317657597189371,0.06605027272945727,0.5619367911748505,0.06056177408825864
300,20,10,0.5245986046959387,0.06875954763757226,0.5662489931834583,0.06252544312372454
500,15,5,0.5327167187665384,0.0657768508794636,0.5614009777282772,0.060660968199721964
