cv_type,seed,fold,model,n_train,n_test,R2_all,RMSE_all,MAE_all,R2_surface,RMSE_surface,R2_deep,RMSE_deep,R2_0-20cm,RMSE_0-20cm,R2_20-50cm,RMSE_20-50cm,R2_50-100cm,RMSE_50-100cm,R2_>100cm,RMSE_>100cm
Spatial_block,42,0,Mean,15955,3989,-0.0034958084192189265,0.8458752615187028,0.6835306828539113,-0.7594347238056911,0.9243279303488161,-0.13686724914237858,0.8162164083799761,-0.31713257626764446,0.8683969576423635,-0.10773890222656979,0.7520239191865303,-0.6903412496648156,0.8809720487495706,-1.3542634204896031,0.9415901434955838
Spatial_block,42,0,LinearReg,15955,3989,0.5091479662943426,0.5915941076538382,0.46570407390621277,0.4544191491635209,0.5147176446495438,0.35124612262600696,0.6165814100931081,0.4660260565910086,0.5529216307346881,0.2501440936610906,0.6187309754137732,0.15314153697423327,0.6235630183260328,0.013557998116846215,0.6094950098324668
Spatial_block,42,0,Ridge,15955,3989,0.5086703502579555,0.5918818584554639,0.4663162946138924,0.44432270500695303,0.5194584589351287,0.3534284971001217,0.6155434624777919,0.46035752772418914,0.5558487192396419,0.2561774171396002,0.6162368006218353,0.15528314496112294,0.6227740595131049,0.014132961163886404,0.6093173571237138
Spatial_block,42,0,RF,15955,3989,0.5859085072611196,0.5433713006944842,0.41522264416407384,0.5248108810764794,0.4803665307386269,0.4570904855850496,0.564045540233945,0.5476279813654972,0.5089222219484869,0.3794688147410884,0.5628527033952421,0.29293753126809785,0.5697755738606134,0.0650094684815472,0.5933869388241693
Spatial_block,42,0,XGBoost,15955,3989,0.5900606083529203,0.5406402416027322,0.41350175414827,0.526609012340465,0.4794568079373502,0.4634068464957748,0.5607548092422043,0.5526621347963458,0.5060825677833886,0.3876529588375973,0.559128670396167,0.30141021432293325,0.5663514937022389,0.04620562064768541,0.5993241190859346
Spatial_block,42,1,Mean,15955,3989,-0.0010252389331304457,0.878609860502415,0.7000102237068315,-0.4135817225281897,1.028980492494587,-0.02873270155619756,0.8257059532774476,-0.21170234248200148,0.975339821616631,-0.010318835341611043,0.7900837656040637,-0.26906124044802704,0.818537439923476,-0.8418748056182448,0.7923438773351683
Spatial_block,42,1,LinearReg,15955,3989,0.41276932431735003,0.6729424520208561,0.5164921794827199,0.4139566504637723,0.6625391585828755,0.3101165992692839,0.6761794858319006,0.42232656392736956,0.6734404227663976,0.260042966052473,0.6761564026183441,0.1184458828296201,0.6822157598598425,-0.08278298902940406,0.6075113060854623
Spatial_block,42,1,Ridge,15955,3989,0.416777547180481,0.6706418894720497,0.5157255781366392,0.4152034179470052,0.6618340297900955,0.3158036217637733,0.6733866909046882,0.42380355294527394,0.6725789492702076,0.2635530602638544,0.6745507729186737,0.12488241685134083,0.6797206495170971,-0.019529624590942873,0.5894996851816379
Spatial_block,42,1,RF,15955,3989,0.4868146647322883,0.6290869526899041,0.4636212292250057,0.4914357133846544,0.6171910368399072,0.3958326534396178,0.6327800343372794,0.4919795822633254,0.6315366601631414,0.3567316267684799,0.630434560332287,0.20780500199740215,0.6467155548080322,0.22654692946769373,0.5134529301696126
Spatial_block,42,1,XGBoost,15955,3989,0.4933061461942485,0.6250955070683539,0.4610569951646078,0.4748667963490101,0.6271644319432674,0.4116464554006569,0.6244437601606604,0.4810679359446781,0.6382829379504587,0.3822328836498484,0.617811953621737,0.2378509793941418,0.6343328559346703,0.23932761529094504,0.5091930621515961
Spatial_block,42,2,Mean,15956,3988,-0.0009145615761656511,0.7889135006530924,0.6475274788717553,-0.5318473626904403,0.8723585128694621,-0.16042631851973232,0.7463316068709801,-0.2443706342891252,0.8340525050076543,-0.12656387844157968,0.6952005739338472,-0.6518345184937884,0.784950537604512,-0.9446751001628595,0.8462406791051373
Spatial_block,42,2,LinearReg,15956,3988,0.5541610029096677,0.5265261083240786,0.40215515716286654,0.545638689271001,0.47510317063287355,0.3718411399560988,0.54910802915045,0.5597475646089044,0.4961001950098205,0.2931638880886117,0.5506702008501373,0.2275633740545503,0.5367727394579593,-0.0506284897315743,0.6220065501309744
Spatial_block,42,2,Ridge,15956,3988,0.5495253667943535,0.5292563222404316,0.4027630398277745,0.5441582282395633,0.4758765636242311,0.3637265993248052,0.5526433305277683,0.5580875103018447,0.49703463434401535,0.29258644880634166,0.5508950858586458,0.23107956957071785,0.5355496289549264,-0.20244757511371714,0.6654316399997208
Spatial_block,42,2,RF,15956,3988,0.638587543068031,0.4740590514107996,0.35888068240300164,0.6062100484689964,0.4423026809818068,0.5032236649762822,0.48831886078660863,0.6212447591269487,0.4601483188529329,0.45084627431684865,0.4853769832711131,0.3507280924310875,0.4921214883129205,0.42349088853453587,0.4607586097537904
Spatial_block,42,2,XGBoost,15956,3988,0.6390464216820428,0.47375800388134565,0.3553841814431181,0.6185573272744851,0.4353132589297647,0.49807200049179834,0.49084430976675203,0.630120753571938,0.4547246488845596,0.4421944562903829,0.4891855545246704,0.33638815635421415,0.49752634994436357,0.4298644549232661,0.4582045847831854
Spatial_block,42,3,Mean,15954,3990,-0.01241850031042091,0.8219875203190382,0.646065792836198,-0.22236293476493807,0.8830806124285748,-0.14312750905523708,0.7957541805144879,-0.11497186652979852,0.8729102534673387,-0.09226508588587135,0.7225219745094588,-0.5050451752604022,0.8142319927224871,-0.8569879695284974,0.8978584204964949
Spatial_block,42,3,LinearReg,15954,3990,0.5578275456381006,0.5432266025695448,0.4250234798972058,0.568530407464602,0.5246568666224105,0.4526955249092015,0.5506125303445987,0.5846151287524164,0.5327984807402687,0.43111082044052285,0.5214358311339092,0.27740514427822904,0.5641840803047553,0.1253715514356123,0.6161906648449711
Spatial_block,42,3,Ridge,15954,3990,0.556802560537526,0.5438558557799925,0.42569916542632846,0.5633965362513056,0.527768969867975,0.45336640390128913,0.5502749598830067,0.5802805817416424,0.5355711461552232,0.43031952107119276,0.5217983520586297,0.28084672168839264,0.5628389277226038,0.13623576973914553,0.612351692541264
Spatial_block,42,3,RF,15954,3990,0.6321494637903884,0.49547401666051827,0.37899132632769184,0.6603117270887773,0.46552235465155867,0.5356522046637231,0.5071696828907001,0.6719145054684075,0.47351218039668014,0.4979914643461867,0.4898268472756331,0.35982936257770004,0.5310327061656768,0.36780834605325374,0.5238750242618859
Spatial_block,42,3,XGBoost,15954,3990,0.6364472079397049,0.4925711027537873,0.3768120549921388,0.6679357236057455,0.46026859396194847,0.5393622731237311,0.5051395151515008,0.6730044306668603,0.47272500418154006,0.5267566066258568,0.4755862764967201,0.3488762752600425,0.535556327308755,0.36467246428945144,0.5251727145589213
