Samples,Profile,Latitude,Longitude,Upper_depth_cm,Lower_depth_cm,SOC_g_kg,pH,CLCD,Time,log_SOC,is_surface,grid_lat,grid_lon,grid_id,depth_bin
55,14,22.64194,100.12508,0,10,14.2,6.3,Forest,2014,2.7212954278522306,1,4,20,4020,0-20cm
56,14,22.64194,100.12508,10,20,5.1,5.4,Forest,2014,1.8082887711792655,0,4,20,4020,0-20cm
57,14,22.64194,100.12508,20,70,4.0,5.2,Forest,2014,1.6094379124341003,0,4,20,4020,20-50cm
58,14,22.64194,100.12508,70,120,3.5,5.5,Forest,2014,1.5040773967762742,0,4,20,4020,50-100cm
59,14,22.64194,100.12508,0,25,49.6,6.2,Forest,2014,3.92395157629342,1,4,20,4020,0-20cm
60,14,22.64194,100.12508,25,40,16.4,6.3,Forest,2014,2.856470206220483,0,4,20,4020,20-50cm
61,14,22.64194,100.12508,40,60,6.8,6.2,Forest,2014,2.0541237336955462,0,4,20,4020,20-50cm
62,14,22.64194,100.12508,60,100,6.2,6.3,Forest,2014,1.9740810260220096,0,4,20,4020,50-100cm
63,15,21.19861111,109.8075,0,12,16.5,5.9,Cropland,2014,2.8622008809294686,1,4,21,4021,0-20cm
64,15,21.19861111,109.8075,12,26,12.9,5.7,Cropland,2014,2.631888840136646,0,4,21,4021,0-20cm
65,15,21.19861111,109.8075,26,50,10.3,5.8,Cropland,2014,2.424802725718295,0,4,21,4021,20-50cm
66,15,21.19861111,109.8075,50,77,20.8,5.6,Cropland,2014,3.0819099697950434,0,4,21,4021,50-100cm
67,15,21.19861111,109.8075,77,89,118.4,4.1,Cropland,2014,4.782479200958502,0,4,21,4021,50-100cm
68,16,20.89416667,110.1233333,0,11,19.6,5.1,Cropland,2014,3.0252910757955354,1,4,22,4022,0-20cm
69,16,20.89416667,110.1233333,11,19,15.1,5.8,Cropland,2014,2.7788192719904172,0,4,22,4022,0-20cm
70,16,20.89416667,110.1233333,19,39,4.5,6.4,Cropland,2014,1.7047480922384253,0,4,22,4022,0-20cm
71,16,20.89416667,110.1233333,39,71,3.4,7.2,Cropland,2014,1.4816045409242156,0,4,22,4022,20-50cm
72,16,20.89416667,110.1233333,71,130,4.4,7.2,Cropland,2014,1.6863989535702288,0,4,22,4022,50-100cm
73,17,20.33722222,110.0544444,0,18,19.6,6.0,Forest,2014,3.0252910757955354,1,4,22,4022,0-20cm
74,17,20.33722222,110.0544444,18,25,14.5,6.3,Forest,2014,2.740840023925201,0,4,22,4022,0-20cm
75,17,20.33722222,110.0544444,25,53,7.3,6.6,Forest,2014,2.1162555148025524,0,4,22,4022,20-50cm
76,17,20.33722222,110.0544444,53,106,5.0,6.8,Forest,2014,1.791759469228055,0,4,22,4022,50-100cm
77,17,20.33722222,110.0544444,106,125,2.2,6.9,Forest,2014,1.1631508098056809,0,4,22,4022,>100cm
78,18,21.60472222,110.0905556,0,16,15.1,5.4,Cropland,2014,2.7788192719904172,1,4,22,4022,0-20cm
79,18,21.60472222,110.0905556,16,30,6.1,6.0,Cropland,2014,1.9600947840472698,0,4,22,4022,0-20cm
80,18,21.60472222,110.0905556,30,44,5.5,6.2,Cropland,2014,1.8718021769015913,0,4,22,4022,20-50cm
81,18,21.60472222,110.0905556,44,60,4.0,6.3,Cropland,2014,1.6094379124341003,0,4,22,4022,20-50cm
82,18,21.60472222,110.0905556,60,90,5.0,6.3,Cropland,2014,1.791759469228055,0,4,22,4022,50-100cm
83,19,20.56472222,110.0733333,0,19,27.0,6.4,Cropland,2014,3.332204510175204,1,4,22,4022,0-20cm
