group,subset,n,delta_R2_mean,delta_R2_sd,delta_R2_q025,delta_R2_median,delta_R2_q975
soil_texture,20-50cm,80,0.09208931029504297,0.005634018913763763,0.08347745642359673,0.09154188104974315,0.10162040168571466
soil_texture,50-100cm,80,0.07609362977451091,0.005382965105887628,0.06756416279261876,0.0764711515712424,0.08492935172453023
soil_texture,all,80,0.06587682153599393,0.00298403301998241,0.060178539621860316,0.06621865855242576,0.07023527624379486
soil_texture,method:direct,80,0.06358119872614222,0.0036642882350903243,0.05579609920576189,0.0641442107627822,0.06925001003513348
soil_texture,method:indirect,80,0.07217737341182164,0.004551069268124678,0.06483619882580967,0.07137419379542664,0.08299920708295883
topography,0-20cm,80,0.018633419699477898,0.002924977184595958,0.013966815783201405,0.018308031838561667,0.023514406427648675
topography,100-200cm,80,0.052986945744120315,0.015201518214678182,0.02960139951425464,0.05273040766029635,0.0810594308556588
topography,20-50cm,80,0.03788964076501915,0.005094525617702481,0.03004996559227594,0.036748114884731176,0.04805027866895988
topography,50-100cm,80,0.0325672169259264,0.005913532152385092,0.019891047610955434,0.03424842946663542,0.040647781450595256
topography,all,80,0.022228211361125173,0.0025375080044746185,0.01819642035580358,0.021958010131417793,0.027326307024992804
topography,method:direct,80,0.022488148061217766,0.003274391152570178,0.017245746045614994,0.021976618389467018,0.028078258650536023
topography,method:indirect,80,0.022162459115386255,0.005004062027249527,0.013548988611113002,0.02279620140626365,0.029794131003780273
vegetation_landcover,0-20cm,80,0.010263221898189387,0.001048573372549402,0.00838373901190187,0.010158679033117235,0.012151306696875851
vegetation_landcover,100-200cm,80,0.007921761194940952,0.0030503672798592595,0.002605408778788612,0.008362659503438508,0.012855153781040431
vegetation_landcover,20-50cm,80,0.005842882092527398,0.0013863112954772834,0.0031294200615883507,0.006034705100232074,0.008089633423648006
vegetation_landcover,50-100cm,80,0.0037209845530926005,0.0014708183071887573,0.0010623428689072872,0.003874520285410077,0.006172640011663756
vegetation_landcover,all,80,0.005710695365062833,0.0004930395766050018,0.004788126746143645,0.0057726042932656485,0.006726940910079134
vegetation_landcover,method:direct,80,0.0049417449081688245,0.0006765389996235686,0.0033459688690738814,0.005076837081068097,0.005919812204443066
vegetation_landcover,method:indirect,80,0.007464334249794718,0.0006894800083066178,0.00615796051973484,0.007483584853904213,0.008613264982419626
