buffer_km,model,subset,n_offsets,R2_mean,R2_sd_offsets,R2_min,R2_max,actual_distance_median_mean_km,actual_distance_min_min_km
0,RF,0-20cm,4,0.5691198149696854,0.014776478192818177,0.5553346988513047,0.5838746653503575,110.35731041519989,0.6619458566355048
0,RF,100-200cm,4,0.32248883843279585,0.00831229149142106,0.3139707716629937,0.3317494608064122,101.79780512645496,0.6619458566355048
0,RF,20-50cm,4,0.469082488248491,0.008415568509848417,0.45680649045509947,0.4752851316512178,109.75727810732245,0.6619458566355048
0,RF,50-100cm,4,0.3537668167082003,0.012360136933038517,0.33606260919827513,0.3643067717561178,110.3682324708147,0.6619458566355048
0,RF,all,4,0.5987353149976198,0.008680317491575334,0.5886579007353014,0.6071839605231772,109.76090024435314,0.6619458566355048
0,Ridge,0-20cm,4,0.4686941395293864,0.005409727826304009,0.46281051749110946,0.47535789668311657,110.35731041519989,0.6619458566355048
0,Ridge,100-200cm,4,0.147179321912136,0.013542895346317741,0.12708890447506216,0.15604738991739464,101.79780512645496,0.6619458566355048
0,Ridge,20-50cm,4,0.3306262208954225,0.0029398575748358765,0.3274242964381031,0.3342971340094979,109.75727810732245,0.6619458566355048
0,Ridge,50-100cm,4,0.2103290179370738,0.005028178496293555,0.20496117046474027,0.21689992415034232,110.3682324708147,0.6619458566355048
0,Ridge,all,4,0.5026147974102461,0.0035496768613762237,0.4984403785153845,0.5071136217899019,109.76090024435314,0.6619458566355048
50,RF,0-20cm,4,0.5557789133685217,0.015871186423373446,0.5395975039606071,0.5709537493865146,136.217568974634,50.00596789087339
50,RF,100-200cm,4,0.291914462512452,0.00929890599894446,0.28162909238751876,0.3041650183069642,126.46443260129423,50.06639686760332
50,RF,20-50cm,4,0.45075967596933275,0.01091888012400497,0.4367633683632888,0.4632372096945775,136.47261616513936,50.01338561581409
50,RF,50-100cm,4,0.33587018884862463,0.012342342502597433,0.31885958754147326,0.34772280872576333,136.94132630435274,50.01338561581409
50,RF,all,4,0.5860158256282156,0.009856468913129926,0.5739767025872407,0.5951114200351899,136.1643138840641,50.00596789087339
50,Ridge,0-20cm,4,0.46199093018862036,0.0077584576201284745,0.4523775531101214,0.4695987166079537,136.217568974634,50.00596789087339
50,Ridge,100-200cm,4,0.13076566163988343,0.022596148484458213,0.09823161524421475,0.15044901509053987,126.46443260129423,50.06639686760332
50,Ridge,20-50cm,4,0.32456853884602077,0.0050500684737547884,0.3181765563514387,0.3304953998605491,136.47261616513936,50.01338561581409
50,Ridge,50-100cm,4,0.20353854525118678,0.006845961884432733,0.19575224615405373,0.21163065154461258,136.94132630435274,50.01338561581409
50,Ridge,all,4,0.4973263376933945,0.005462627335399582,0.4904136429395336,0.5031985289079748,136.1643138840641,50.00596789087339
100,RF,0-20cm,4,0.5426392803023897,0.012569722466008893,0.5318976063497478,0.5566202872044513,188.90677985910065,100.00319715047681
100,RF,100-200cm,4,0.26316487967327096,0.01974462695299996,0.24954669037931576,0.29245963383167883,177.7290047755843,100.07213055467898
100,RF,20-50cm,4,0.4314992460672218,0.010521700901780784,0.41703233158857034,0.4418936796755323,188.5592584254602,100.00319715047681
100,RF,50-100cm,4,0.31118262421315324,0.014236889139472693,0.29499379123183245,0.3292356355483369,188.8192493922803,100.00319715047681
100,RF,all,4,0.5719907735112173,0.008989722024328062,0.5620067133912746,0.5830647430945384,188.30310190692762,100.00319715047681
100,Ridge,0-20cm,4,0.45520816731369174,0.006732529094861292,0.4459935909839712,0.4604617392367072,188.90677985910065,100.00319715047681
100,Ridge,100-200cm,4,0.1119356252257582,0.029852740707420437,0.06794224117323922,0.13380684236448703,177.7290047755843,100.07213055467898
100,Ridge,20-50cm,4,0.3156918930035157,0.0054321776287566265,0.3079571494370933,0.3198725717106905,188.5592584254602,100.00319715047681
100,Ridge,50-100cm,4,0.19454827843091146,0.006583449745135263,0.1856532062628341,0.20058745043055448,188.8192493922803,100.00319715047681
100,Ridge,all,4,0.4909045690982532,0.0052554987728512075,0.48334801347644407,0.49525419684635996,188.30310190692762,100.00319715047681
200,RF,0-20cm,4,0.5132144447038117,0.01204480402715293,0.5002095251734757,0.5246485759076507,293.5534753852497,200.00089439945137
200,RF,100-200cm,4,0.18633290306689113,0.02923580309283059,0.15287817280948024,0.22414933968992656,292.6836063152088,200.04465519808048
200,RF,20-50cm,4,0.38942950952478406,0.018889495762535506,0.36306767265221784,0.40649918807274865,296.2291555836475,200.01682334077188
200,RF,50-100cm,4,0.26561217568994844,0.020943318412162074,0.2439771261061281,0.2941743309288086,297.2996383824931,200.01682334077188
200,RF,all,4,0.5422522567803207,0.01184462423092514,0.5289421440727518,0.556077716627661,295.10040695371765,200.00089439945137
200,Ridge,0-20cm,4,0.43822594102825563,0.010502821767346683,0.4237831838920705,0.448601293455657,293.5534753852497,200.00089439945137
200,Ridge,100-200cm,4,0.06469789302420628,0.06457160857899492,-0.02994088407934692,0.11423766163765414,292.6836063152088,200.04465519808048
200,Ridge,20-50cm,4,0.2908968202472948,0.01022123774176888,0.27571454714172317,0.2973223472818033,296.2291555836475,200.01682334077188
200,Ridge,50-100cm,4,0.16676648981306727,0.010592457052386902,0.1517447408796846,0.1749437118541307,297.2996383824931,200.01682334077188
200,Ridge,all,4,0.47329134872352063,0.009083523720780756,0.45993574607461896,0.4801836454906403,295.10040695371765,200.00089439945137
