cv_type,model,R2_all_mean,R2_all_std,RMSE_all_mean,RMSE_all_std,R2_surface_mean,R2_surface_std,R2_deep_mean,R2_deep_std,R2_0-20cm_mean,R2_0-20cm_std,R2_20-50cm_mean,R2_20-50cm_std,R2_50-100cm_mean,R2_50-100cm_std,R2_>100cm_mean,R2_>100cm_std
Random_5fold,LinearReg,0.5192273571527212,0.013261283457504538,0.575767172751045,0.0074040189119518925,0.5028705706677044,0.025366524169861765,0.39128847556683105,0.01809307861139802,0.5071039492613674,0.02360491329568731,0.344129455112941,0.02991797250785167,0.22864677688141935,0.034072088362672864,0.06756941568063225,0.10372514544510253
Random_5fold,Ridge,0.5189877832124471,0.012603913580189911,0.5759161731314176,0.0070130544615909585,0.4987877866147669,0.02482687069307685,0.3924967145904254,0.01668447576512372,0.5042152283344045,0.023410735403328622,0.34501958385906756,0.029435087827723427,0.23064743517075784,0.03400633598181429,0.082605470294346,0.0824892157823017
Random_5fold,RF,0.6927521929511479,0.011628307110989063,0.46022682568540335,0.007529588713868381,0.6844243785469362,0.021150455273069003,0.6100848674665917,0.0159060282799736,0.6925361682119932,0.0169223774364313,0.5738671526338812,0.019226665383990753,0.48231483711423295,0.02905993050401241,0.4705050143053736,0.05749009028002636
Random_5fold,XGBoost,0.7185636989919594,0.007783163314239767,0.4405153259883784,0.005255145785603725,0.7001874221465862,0.019844193232353886,0.6470497032785436,0.011685823089330211,0.7157213667983903,0.013803208468561468,0.6231354138944505,0.015506497547818326,0.518839633111097,0.028257586591333574,0.4940762886890592,0.05655845321836913
Spatial_block,LinearReg,0.5013291322479636,0.060631261894400296,0.5845403774860065,0.05690377745231231,0.47980913998750585,0.072791037105353,0.36591994451219667,0.05335753767996367,0.4888819503023038,0.07920969036729009,0.31664130843968763,0.07468323586401782,0.19510498384989022,0.06220800314062946,0.010384250472550021,0.08205517113199554
Spatial_block,Ridge,0.5008339294675913,0.057963497796608074,0.5848483151357005,0.05521543509380422,0.47558864809227985,0.07284476823263107,0.36634320089387,0.051816799277123224,0.48609808623922107,0.07858334543446445,0.3182684937361991,0.07244053371884251,0.19874855588005913,0.061520881558502896,-0.0009111225777317988,0.12710063652288667
Spatial_block,RF,0.5832363291153209,0.06097354315461156,0.5343370579371954,0.05963323827351336,0.5590482811796555,0.07139928244682135,0.47317452868984883,0.05255397484550046,0.5751118772204987,0.07108071649127905,0.4232550173135613,0.05646485091790414,0.30492445152111214,0.0607431474646627,0.29431916216638127,0.14847334312160454
Spatial_block,XGBoost,0.5847348835224662,0.060017341860846535,0.5333275493394795,0.05849359600646962,0.5570803609132844,0.08263430936721697,0.4758513960925999,0.04713547111292169,0.5744106731507246,0.07672651536385859,0.4303950698946085,0.058883458324223044,0.3059592958993079,0.043092033887980725,0.2932946029626917,0.15522618332416427
